Fri Mar  1 19:55:37 2024, Set transit paramters
Fri Mar  1 23:47:52 2024, Copy DaySim inputs in feedback loop 1
Fri Mar  1 23:47:52 2024, Runing DaySim for iteration 1 in feedback loop 1
Mon Mar  4 12:51:35 2024, 7.1 RunDaySim.rsc,  ******** Build DaySim Trip Matrices ******** 
Mon Mar  4 12:51:35 2024, Set transit paramters
Mon Mar  4 12:51:35 2024, Copying DaySim outputs
Mon Mar  4 12:51:40 2024,  ******************* FINISHED Nashville ABM 2019 - Version 19.1.0 ******************* 
Mon Mar  4 12:52:58 2024,  ******************* STARTED Nashville ABM 2019 - Version 19.1.0 ******************* 
Mon Mar  4 12:52:58 2024, 1.1 Initialization.rsc, Initialization
Mon Mar  4 12:56:56 2024, 1.1 Initialization.rsc, Area Type
Mon Mar  4 12:58:04 2024, 1.1 Initialization.rsc, Capacity and FF Speed
Mon Mar  4 13:42:32 2024,  ******************* FINISHED Nashville ABM 2019 - Version 19.1.0 ******************* 
Mon Mar  4 13:44:19 2024,  ******************* STARTED Nashville ABM 2019 - Version 19.1.0 ******************* 
Mon Mar  4 13:44:19 2024, 2.1 HwySkimming.rsc,   ****** Highway Skimming ****** 
Mon Mar  4 13:44:19 2024, Build highway network
Mon Mar  4 13:44:24 2024, Shortest path using length
Mon Mar  4 13:44:25 2024, Terminal time
Mon Mar  4 13:44:28 2024, Build HOV skims
Mon Mar  4 13:44:51 2024, Build SOV skims
Mon Mar  4 13:45:24 2024, 2.1 HwySkimming.rsc, Finished Highway Skimming
Mon Mar  4 13:45:24 2024, 2.2 TransitSkimming.rsc,   ****** Transit Skimming ****** 
Mon Mar  4 13:45:24 2024, Set transit paramters
Mon Mar  4 13:45:24 2024, Prepare inputs
